Symbol,Name,Last Sale,Net Change,% Change,Market Cap,Country,IPO Year,Volume,Sector,Industry
AAPL,Apple Inc. Common Stock,$226.1701,-0.3399,-0.15%,3438721185704.00,United States,1980,21772154,Technology,Computer Manufacturing
ABNB,Airbnb Inc. Class A Common Stock,$117.29,-0.09,-0.077%,75256016210.00,United States,2020,2316496,Finance,Diversified Commercial Services
ACGL,Arch Capital Group Ltd. Common Stock,$104.40,1.60,1.556%,39260438600.00,Bermuda,,513968,Finance,Property-Casualty Insurers
ADBE,Adobe Inc. Common Stock,$564.89,2.64,0.47%,250472226000.00,United States,1986,809243,Technology,Computer Software: Prepackaged Software
ADI,Analog Devices Inc. Common Stock,$227.95,4.46,1.996%,113112632553.00,United States,,3871271,Technology,Semiconductors
ADP,Automatic Data Processing Inc. Common Stock,$267.27,2.73,1.032%,108991423906.00,United States,,522498,Technology,EDP Services
ADSK,Autodesk Inc. Common Stock,$252.175,2.045,0.818%,54469800000.00,United States,,394844,Technology,Computer Software: Prepackaged Software
AEP,American Electric Power Company Inc. Common Stock,$98.34,0.70,0.717%,52328680308.00,United States,,778547,Utilities,Electric Utilities: Central
AGNCL,AGNC Investment Corp. Depositary Shares Each Representing a 1/1000th Interest in a Share of 7.75% Series G Fixed-Rate Reset Cumulative Redeemable Preferred Stock,$23.90,0.00,0.00%,18700900164.00,United States,,10418,Real Estate,Real Estate Investment Trusts
AGNCM,AGNC Investment Corp. Depositary Shares rep 6.875% Series D Fixed-to-Floating Cumulative Redeemable Preferred Stock,$25.26,0.01,0.04%,19765051805.00,United States,,5637,Real Estate,Real Estate Investment Trusts
AGNCN,AGNC Investment Corp. Depositary Shares Each Representing a 1/1000th Interest in a Share of 7.00% Series C Fixed-To-Floating Rate Cumulative Redeemable Preferred Stock,$25.7742,0.0742,0.289%,20167395021.00,United States,,6770,Real Estate,Real Estate Investment Trusts
AGNCO,AGNC Investment Corp. Depositary Shares each representing a 1/1000th interest in a share of 6.50% Series E Fixed-to-Floating Cumulative Redeemable Preferred Stock,$24.95,0.0001,0.00%,19522487828.00,United States,,9082,Real Estate,Real Estate Investment Trusts
AGNCP,AGNC Investment Corp. Depositary Shares Each Representing a 1/1000th Interest in a Share of 6.125% Series F Fixed-to-Floating Rate Cumulative Redeemable Preferred Stock,$24.2112,0.0112,0.046%,18944403098.00,United States,,11051,Real Estate,Real Estate Investment Trusts
AKAM,Akamai Technologies Inc. Common Stock,$102.34,0.64,0.629%,15507147302.00,United States,1999,1115361,Consumer Discretionary,Business Services
