Symbol,Name,Last Sale,Net Change,% Change,Market Cap,Country,IPO Year,Volume,Sector,Industry
ALGN,Align Technology Inc. Common Stock,$233.865,0.635,0.272%,17469029106.00,United States,2001,229516,Health Care,Industrial Specialties
ALNY,Alnylam Pharmaceuticals Inc. Common Stock,$279.31,-1.45,-0.516%,35857961086.00,United States,2004,435579,Health Care,Biotechnology: Pharmaceutical Preparations
AMAT,Applied Materials Inc. Common Stock,$208.355,2.195,1.065%,172512695288.00,United States,1972,1939749,Technology,Semiconductors
AMD,Advanced Micro Devices Inc. Common Stock,$157.29,0.89,0.569%,254571009400.00,United States,,34887337,Technology,Semiconductors
AMGN,Amgen Inc. Common Stock,$329.52,0.97,0.295%,177060724574.00,United States,1983,602968,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
AMZN,Amazon.com Inc. Common Stock,$180.175,1.295,0.724%,1891038762784.00,United States,1997,25821915,Consumer Discretionary,Catalog/Specialty Distribution
ANSS,ANSYS Inc. Common Stock,$329.58,3.56,1.092%,28800890130.00,United States,1996,142770,Technology,Computer Software: Prepackaged Software
APA,APA Corporation Common Stock,$28.275,-0.055,-0.194%,10459059436.00,United States,,2182530,Energy,Oil & Gas Production
APP,Applovin Corporation Class A Common Stock,$89.38,2.80,3.234%,29875138706.00,United States,2021,1933036,Technology,Computer Software: Programming Data Processing
ARCC,Ares Capital Corporation Common Stock,$20.96,0.18,0.866%,13212902947.00,United States,2004,2559554,Finance,Finance: Consumer Services
ARGX,argenx SE American Depositary Shares,$524.94,0.95,0.181%,31073554531.00,Netherlands,2017,138022,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
ARM,Arm Holdings plc American Depositary Shares,$129.8273,-0.1227,-0.094%,135063299533.00,United Kingdom,2023,3373323,Technology,Semiconductors
ASML,ASML Holding N.V. New York Registry Shares,$939.242,13.062,1.41%,369518204075.00,Netherlands,1995,463790,Technology,Industrial Machinery/Components
ASTS,AST SpaceMobile Inc. Class A Common Stock,$37.22,2.90,8.45%,10026860722.00,United States,2019,31397509,Consumer Discretionary,Telecommunications Equipment
AVGO,Broadcom Inc. Common Stock,$165.27,-0.68,-0.41%,769312635710.00,United States,2009,9697468,Technology,Semiconductors
AXON,Axon Enterprise Inc. Common Stock,$372.40,-0.65,-0.174%,28143885706.00,United States,2001,226864,Industrials,Ordnance And Accessories
AZN,AstraZeneca PLC American Depositary Shares,$85.30,0.17,0.20%,264477256371.00,United Kingdom,,1926559,Health Care,Biotechnology: Pharmaceutical Preparations
AZPN,Aspen Technology Inc. Common Stock,$218.01,2.69,1.249%,13790124009.00,United States,,98877,Technology,EDP Services
BGNE,BeiGene Ltd. American Depositary Shares,$198.14,3.93,2.024%,21026148397.00,Cayman Islands,2016,212750,Health Care,Biotechnology: Pharmaceutical Preparations
BIDU,Baidu Inc. ADS,$89.45,1.47,1.671%,31365546341.00,China,2005,2456833,Technology,Computer Software: Programming Data Processing
BIIB,Biogen Inc. Common Stock,$205.87,0.38,0.185%,29987362239.00,United States,,318651,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
BKNG,Booking Holdings Inc. Common Stock,$3726.50,24.00,0.648%,124928631882.00,United States,,75262,Consumer Discretionary,Transportation Services
BKR,Baker Hughes Company Class A Common Stock,$34.415,0.205,0.599%,34188675844.00,United States,,1479273,Industrials,Metal Fabrications
BMRN,BioMarin Pharmaceutical Inc. Common Stock,$92.69,-1.15,-1.225%,17646583771.00,United States,1999,1253628,Health Care,Biotechnology: Pharmaceutical Preparations
BNTX,BioNTech SE American Depositary Share,$88.30,-0.23,-0.26%,20991182401.00,Germany,2019,221292,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
BPYPM,Brookfield Property Partners L.P. 6.25% Class A Cumulative Redeemable Preferred Units Series 1,$16.06,0.2831,1.794%,14475585443.00,Bermuda,,10353,Finance,Real Estate
BPYPN,Brookfield Property Partners L.P. 5.750% Class A Cumulative Redeemable Perpetual Preferred Units Series 3,$12.91,-0.01,-0.077%,11636351686.00,Bermuda,,16366,Finance,Real Estate
BPYPO,Brookfield Property Partners L.P. 6.375% Class A Cumulative Redeemable Perpetual Preferred Units Series 2,$13.58,0.11,0.817%,12240252199.00,Bermuda,,8627,Finance,Real Estate
BPYPP,Brookfield Property Partners L.P. 6.50% Class A Cumulative Redeemable Perpetual Preferred Units,$15.00,0.08,0.536%,13520160750.00,Bermuda,,11942,Finance,Real Estate
BSY,Bentley Systems Incorporated Class B Common Stock,$50.02,0.48,0.969%,15113939459.00,United States,2020,469984,Technology,Computer Software: Prepackaged Software
CASY,Casey's General Stores Inc. Common Stock,$377.67,2.85,0.76%,14015883965.00,United States,1983,63072,Consumer Discretionary,Retail-Auto Dealers and Gas Stations
CCEP,Coca-Cola Europacific Partners plc Ordinary Shares,$77.88,0.61,0.789%,35853810689.00,United Kingdom,,350383,Consumer Staples,Beverages (Production/Distribution)
CDNS,Cadence Design Systems Inc. Common Stock,$284.195,2.825,1.004%,77818274900.00,United States,,712087,Technology,Computer Software: Prepackaged Software
CDW,CDW Corporation Common Stock,$224.165,3.015,1.363%,29942964511.00,United States,2013,240634,Consumer Discretionary,Catalog/Specialty Distribution
CEG,Constellation Energy Corporation Common Stock ,$195.92,5.20,2.727%,61262044554.00,United States,,1202094,Utilities,Electric Utilities: Central
CG,The Carlyle Group Inc. Common Stock,$40.065,-0.385,-0.952%,14278172228.00,United States,2012,1207713,Finance,Investment Managers
CHDN,Churchill Downs Incorporated Common Stock,$137.30,0.94,0.689%,10080096571.00,United States,,63540,Consumer Discretionary,Services-Misc. Amusement & Recreation
CHKP,Check Point Software Technologies Ltd. Ordinary Shares,$189.72,1.12,0.594%,21420607330.00,Israel,1996,297467,Technology,Computer Software: Prepackaged Software
CHRW,C.H. Robinson Worldwide Inc. Common Stock,$100.4615,1.2815,1.292%,11782449713.00,United States,1997,418708,Consumer Discretionary,Oil Refining/Marketing
CHTR,Charter Communications Inc. Class A Common Stock New,$344.86,-2.46,-0.708%,49225725749.00,United States,,364563,Telecommunications,Cable & Other Pay Television Services
CINF,Cincinnati Financial Corporation Common Stock,$131.22,0.56,0.429%,20501833533.00,United States,,77805,Finance,Property-Casualty Insurers
CMCSA,Comcast Corporation Class A Common Stock,$39.88,-0.15,-0.375%,154435364725.00,United States,,5164851,Telecommunications,Cable & Other Pay Television Services
CME,CME Group Inc. Class A Common Stock,$208.505,-0.195,-0.093%,75081978697.00,United States,2002,534451,Finance,Investment Bankers/Brokers/Service
COIN,Coinbase Global Inc. Class A Common Stock,$203.815,6.565,3.328%,50643485890.00,United States,,5016932,Finance,Finance: Consumer Services
COKE,Coca-Cola Consolidated Inc. Common Stock,$1314.58,46.61,3.676%,11516613400.00,United States,1972,47039,Consumer Staples,Beverages (Production/Distribution)
COO,The Cooper Companies Inc. Common Stock,$93.56,-2.33,-2.43%,18629655973.00,United States,,787870,Health Care,Ophthalmic Goods
COST,Costco Wholesale Corporation Common Stock,$880.12,3.92,0.447%,390188021323.00,United States,,930124,Consumer Discretionary,Department/Specialty Retail Stores
CPB,Campbell Soup Company Common Stock,$50.63,0.26,0.516%,15115783198.00,United States,,929692,Consumer Staples,Packaged Foods
CPRT,Copart Inc. (DE) Common Stock,$52.465,0.485,0.933%,50486943741.00,United States,1994,1034750,Consumer Discretionary,Retail-Auto Dealers and Gas Stations
CRWD,CrowdStrike Holdings Inc. Class A Common Stock,$271.405,4.875,1.829%,66049294228.00,United States,2019,4204398,Technology,Computer Software: Prepackaged Software
CSCO,Cisco Systems Inc. Common Stock (DE),$50.355,0.115,0.229%,202870968045.00,United States,1990,10460354,Telecommunications,Computer Communications Equipment
CSGP,CoStar Group Inc. Common Stock,$75.49,0.65,0.869%,30937073856.00,United States,1998,549214,Consumer Discretionary,Business Services
CSX,CSX Corporation Common Stock,$33.70,0.12,0.357%,65335526576.00,United States,,3748988,Industrials,Railroads
CTAS,Cintas Corporation Common Stock,$781.98,7.32,0.945%,78799288663.00,United States,1983,102433,Consumer Discretionary,Apparel
CTSH,Cognizant Technology Solutions Corporation Class A Common Stock,$76.34,0.88,1.166%,37838529888.00,United States,1998,845259,Technology,EDP Services
CYBR,CyberArk Software Ltd. Ordinary Shares,$281.68,1.10,0.392%,11902483044.00,Israel,2014,170718,Technology,Computer Software: Prepackaged Software
DASH,DoorDash Inc. Class A Common Stock,$128.85,1.31,1.027%,53027100113.00,United States,,1122473,Consumer Discretionary,Business Services
DDOG,Datadog Inc. Class A Common Stock,$117.00,0.90,0.775%,36399912120.00,United States,2019,905262,Technology,Computer Software: Prepackaged Software
DKNG,DraftKings Inc. Class A Common Stock,$35.37,0.57,1.638%,17173210425.00,United States,2019,6254552,Consumer Discretionary,Services-Misc. Amusement & Recreation
DLTR,Dollar Tree Inc. Common Stock,$99.22,0.03,0.03%,21326743680.00,United States,1995,1713213,Consumer Discretionary,Department/Specialty Retail Stores
DOCU,DocuSign Inc. Common Stock,$56.84,-0.03,-0.053%,11636077561.00,United States,1989,413019,Technology,Computer Software: Prepackaged Software
DOX,Amdocs Limited Ordinary Shares,$85.695,1.475,1.751%,10056121349.00,Guernsey,,348615,Technology,EDP Services
DXCM,DexCom Inc. Common Stock,$72.39,-0.46,-0.631%,29008614789.00,United States,2005,2556588,Health Care,Medical/Dental Instruments
EA,Electronic Arts Inc. Common Stock,$149.80,0.75,0.503%,39577149664.00,United States,,690124,Technology,Computer Software: Prepackaged Software
EBAY,eBay Inc. Common Stock,$58.32,1.38,2.424%,28518480000.00,United States,1998,3250975,Consumer Discretionary,Business Services
ENPH,Enphase Energy Inc. Common Stock,$118.2099,1.2299,1.051%,16008239873.00,United States,2012,1014722,Technology,Semiconductors
ENTG,Entegris Inc. Common Stock,$115.38,3.29,2.935%,17419886061.00,United States,2000,656625,Industrials,Plastic Products
EQIX,Equinix Inc. Common Stock REIT,$820.025,-5.555,-0.673%,77857268705.00,United States,2000,194834,Real Estate,Real Estate Investment Trusts
ERIC,Ericsson American Depositary Shares,$7.24,0.04,0.556%,24211658561.00,Sweden,,14334762,Technology,Radio And Television Broadcasting And Communications Equipment
ERIE,Erie Indemnity Company Class A Common Stock,$474.175,7.035,1.506%,21902906672.00,United States,,36227,Finance,Specialty Insurers
EVRG,Evergy Inc. Common Stock,$58.31,0.46,0.795%,13408876403.00,United States,,647086,Utilities,Power Generation
EWBC,East West Bancorp Inc. Common Stock,$80.68,0.44,0.548%,11182667052.00,United States,,215914,Finance,Major Banks
EXAS,Exact Sciences Corporation Common Stock,$59.58,0.76,1.292%,11008588378.00,United States,2001,1045142,Health Care,Medical Specialities
EXC,Exelon Corporation Common Stock,$38.005,0.465,1.239%,38023934357.00,United States,,2323772,Utilities,Power Generation
EXPE,Expedia Group Inc. Common Stock,$132.67,-0.85,-0.637%,17270907632.00,United States,,716111,Consumer Discretionary,Transportation Services
FANG,Diamondback Energy Inc. Common Stock,$190.56,0.81,0.427%,33994846773.00,United States,2012,624603,Energy,Oil & Gas Production
FAST,Fastenal Company Common Stock,$68.21,1.31,1.958%,39060190754.00,United States,1987,620992,Consumer Discretionary,RETAIL: Building Materials
FCNCA,First Citizens BancShares Inc. Class A Common Stock,$1974.815,-24.535,-1.227%,28567620470.00,United States,,42893,Finance,Major Banks
FER,Ferrovial SE Ordinary Shares,$41.00,0.20,0.49%,29825173701.00,Netherlands,,8489,Industrials,Military/Government/Technical
FFIV,F5 Inc. Common Stock,$197.495,-0.875,-0.441%,11510887255.00,United States,1999,283992,Telecommunications,Computer Communications Equipment
FITB,Fifth Third Bancorp Common Stock,$40.55,-0.09,-0.221%,27444136476.00,United States,,1565529,Finance,Major Banks
FITBI,Fifth Third Bancorp Depositary Shares,$25.6899,0.0599,0.234%,17386858734.00,United States,,23124,Finance,Major Banks
FITBO,Fifth Third Bancorp Depositary Shares each representing a 1/1000th ownership interest in a share of Non-Cumulative Perpetual Preferred Stock Series K,$21.21,0.09,0.426%,14354873851.00,United States,,38464,Finance,Major Banks
FITBP,Fifth Third Bancorp Depositary Shares each representing 1/40th share of Fifth Third 6.00% Non-Cumulative Perpetual Class B Preferred Stock Series A,$24.2475,0.0225,0.093%,16410646096.00,United States,,11030,Finance,Major Banks
FLEX,Flex Ltd. Ordinary Shares,$31.83,0.33,1.048%,12638778811.00,Singapore,1994,994642,Technology,Electrical Products
FOX,Fox Corporation Class B Common Stock,$37.325,0.175,0.471%,17177988750.00,United States,,191453,Industrials,Broadcasting
FOXA,Fox Corporation Class A Common Stock,$40.27,0.20,0.499%,18533358526.00,United States,,809281,Industrials,Broadcasting
FSLR,First Solar Inc. Common Stock,$222.37,2.17,0.985%,23804022044.00,United States,2006,636596,Technology,Semiconductors
FTAI,FTAI Aviation Ltd. Common Stock,$117.935,3.635,3.18%,12054301695.00,United States,,486735,Industrials,Misc Corporate Leasing Services
FTNT,Fortinet Inc. Common Stock,$75.4395,-0.1305,-0.173%,57704275934.00,United States,2009,1777015,Technology,Computer peripheral equipment
FWONA,Liberty Media Corporation Series A Liberty Formula One Common Stock,$71.145,-1.115,-1.543%,16806541374.00,United States,,39918,Industrials,Broadcasting
FWONK,Liberty Media Corporation Series C Liberty Formula One Common Stock,$78.23,-1.60,-2.004%,18480226744.00,United States,,2540593,Industrials,Broadcasting
GEHC,GE HealthCare Technologies Inc. Common Stock ,$84.25,0.31,0.369%,38473794815.00,United States,,444631,Health Care,Medical Electronics
GEN,Gen Digital Inc. Common Stock,$25.585,0.275,1.087%,15748207662.00,United States,,1462763,Technology,Computer Software: Prepackaged Software
GFS,GlobalFoundries Inc. Ordinary Shares,$45.875,0.235,0.515%,25394023216.00,United States,2021,415877,Technology,Semiconductors
GILD,Gilead Sciences Inc. Common Stock,$75.155,0.405,0.542%,93567379848.00,United States,1992,1571552,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
GLPI,Gaming and Leisure Properties Inc. Common Stock,$49.94,0.28,0.564%,13703109762.00,United States,,507339,Real Estate,Real Estate Investment Trusts
GMAB,Genmab A/S ADS,$27.525,0.335,1.232%,18187015759.00,Denmark,2019,252246,Health Care,Biotechnology: Pharmaceutical Preparations
GOOG,Alphabet Inc. Class C Capital Stock,$167.55,-1.41,-0.835%,2062540500000.00,United States,2004,7795506,Technology,Computer Software: Programming Data Processing
GOOGL,Alphabet Inc. Class A Common Stock,$165.75,-1.43,-0.855%,2040382500000.00,United States,2004,11610618,Technology,Computer Software: Programming Data Processing
GRAB,Grab Holdings Limited Class A Ordinary Shares,$3.20,-0.03,-0.929%,12491977763.00,Singapore,,15789247,Consumer Discretionary,Business Services
HBAN,Huntington Bancshares Incorporated Common Stock,$13.905,0.005,0.036%,20196078612.00,United States,,4499307,Finance,Major Banks
HBANL,Huntington Bancshares Incorporated Depositary Shares Each Representing a 1/40th Interest in a Share of 6.875% Series J Non-Cumulative Perpetual Preferred Stock,$25.47,0.02,0.079%,36993464384.00,United States,,11291,Finance,Major Banks
HBANM,Huntington Bancshares Incorporated Depositary Shares each representing a 1/1000th interest in a share of Huntington Series I Preferred Stock,$23.95,0.05,0.209%,34785766470.00,United States,,9590,Finance,Major Banks
HBANP,Huntington Bancshares Incorporated Depositary Shares 4.500% Series H Non-Cumulative Perpetual Preferred Stock,$18.78,0.18,0.968%,27276688698.00,United States,,25003,Finance,Major Banks
HOLX,Hologic Inc. Common Stock,$80.00,-0.91,-1.125%,18581752480.00,United States,1990,637782,Health Care,Medical Electronics
HON,Honeywell International Inc. Common Stock,$201.13,1.06,0.53%,130668368456.00,United States,,758407,Industrials,Aerospace
HOOD,Robinhood Markets Inc. Class A Common Stock,$20.01,0.18,0.908%,17702397595.00,United States,2021,5080361,Finance,Investment Bankers/Brokers/Service
HST,Host Hotels & Resorts Inc. Common Stock,$16.78,0.26,1.574%,11786949392.00,United States,,3235216,Real Estate,Real Estate Investment Trusts
IBKR,Interactive Brokers Group Inc. Class A Common Stock,$123.10,2.34,1.938%,13397680333.00,United States,2019,398236,Finance,Investment Bankers/Brokers/Service
ICLR,ICON plc Ordinary Shares,$323.38,-0.61,-0.188%,26677260911.00,Ireland,1998,112375,Health Care,Biotechnology: Commercial Physical & Biological Resarch
IDXX,IDEXX Laboratories Inc. Common Stock,$493.715,-0.295,-0.06%,40635656431.00,United States,1991,170222,Health Care,Biotechnology: In Vitro & In Vivo Diagnostic Substances
ILMN,Illumina Inc. Common Stock,$131.575,-0.935,-0.706%,20959897500.00,United States,2000,862328,Health Care,Medical Specialities
INCY,Incyte Corp. Common Stock,$64.105,-0.275,-0.427%,12346496521.00,United States,,724713,Health Care,Biotechnology: Commercial Physical & Biological Resarch
INSM,Insmed Incorporated Common Stock,$76.565,0.375,0.492%,13157626571.00,United States,,1139908,Health Care,Biotechnology: Pharmaceutical Preparations
INTC,Intel Corporation Common Stock,$21.315,0.325,1.548%,91142940000.00,United States,,35403555,Technology,Semiconductors
INTU,Intuit Inc. Common Stock,$667.25,-0.03,-0.004%,186527735750.00,United States,1993,754777,Technology,Computer Software: Prepackaged Software
ISRG,Intuitive Surgical Inc. Common Stock,$486.14,2.93,0.606%,172751879121.00,United States,2000,437781,Health Care,Industrial Specialties
JBHT,J.B. Hunt Transport Services Inc. Common Stock,$174.57,2.33,1.353%,17803788717.00,United States,,228331,Industrials,Trucking Freight/Courier Services
JD,JD.com Inc. American Depositary Shares,$26.805,-1.385,-4.913%,42140625242.00,China,2014,69028084,Consumer Discretionary,Other Specialty Stores
JKHY,Jack Henry & Associates Inc. Common Stock,$164.825,-0.725,-0.438%,12015746785.00,United States,1985,877855,Technology,EDP Services
KDP,Keurig Dr Pepper Inc. Common Stock,$35.545,-0.185,-0.518%,48202090270.00,United States,,3022195,Consumer Staples,Beverages (Production/Distribution)
KHC,The Kraft Heinz Company Common Stock,$35.395,0.105,0.298%,42795347559.00,United States,,3865197,Consumer Staples,Packaged Foods
KLAC,KLA Corporation Common Stock,$824.66,13.09,1.613%,110854938643.00,United States,1980,196375,Technology,Electronic Components
KSPI,Joint Stock Company Kaspi.kz American Depository Shares,$127.83,2.91,2.329%,24202496831.00,Kazakhstan,2024,68169,,
LAMR,Lamar Advertising Company Class A Common Stock,$118.96,0.14,0.118%,12169802262.00,United States,1996,141180,Real Estate,Real Estate Investment Trusts
LECO,Lincoln Electric Holdings Inc. Common Shares,$195.56,2.80,1.453%,11083412868.00,United States,,52893,Industrials,Industrial Machinery/Components
LEGN,Legend Biotech Corporation American Depositary Shares,$56.63,-0.43,-0.754%,10301621912.00,United States,2020,214375,Health Care,Biotechnology: Pharmaceutical Preparations
LI,Li Auto Inc. American Depositary Shares,$21.015,0.705,3.471%,22005020117.00,China,2020,3061058,Consumer Discretionary,Auto Manufacturing
LIN,Linde plc Ordinary Shares,$461.30,3.23,0.705%,220272012578.00,United States,,407950,Industrials,Major Chemicals
LINE,Lineage Inc. Common Stock,$86.13,-0.19,-0.22%,20128780735.00,United States,2024,235519,Real Estate,Real Estate Investment Trusts
LKQ,LKQ Corporation Common Stock,$41.725,0.615,1.496%,10984359771.00,United States,2003,567851,Consumer Discretionary,Motor Vehicles
LNT,Alliant Energy Corporation Common Stock,$57.86,0.32,0.556%,14841065410.00,United States,,263906,Utilities,Power Generation
LOGI,Logitech International S.A. Ordinary Shares,$92.47,0.85,0.928%,14678476044.00,United States,1997,161378,Technology,Computer peripheral equipment
LPLA,LPL Financial Holdings Inc. Common Stock,$223.03,3.72,1.696%,16674367357.00,United States,2010,352600,Finance,Investment Bankers/Brokers/Service
LRCX,Lam Research Corporation Common Stock,$870.00,7.14,0.827%,113744670000.00,United States,1984,474544,Technology,Industrial Machinery/Components
LULU,lululemon athletica inc. Common Stock,$266.855,6.255,2.40%,31992285539.00,Canada,2007,1272420,Consumer Discretionary,Apparel
MANH,Manhattan Associates Inc. Common Stock,$260.78,3.43,1.333%,15971717798.00,United States,1998,128823,Technology,Computer Software: Prepackaged Software
MAR,Marriott International Class A Common Stock,$224.49,1.36,0.61%,63199045739.00,United States,,340705,Consumer Discretionary,Hotels/Resorts
MCHP,Microchip Technology Incorporated Common Stock,$82.325,2.045,2.547%,44167780464.00,United States,1993,2748524,Technology,Semiconductors
MDB,MongoDB Inc. Class A Common Stock,$258.00,4.76,1.88%,18924479310.00,United States,2017,581812,Technology,Computer Software: Prepackaged Software
MDLZ,Mondelez International Inc. Class A Common Stock,$71.135,0.155,0.218%,95021969816.00,United States,,1851354,Consumer Staples,Packaged Foods
MEDP,Medpace Holdings Inc. Common Stock,$394.4308,5.0808,1.305%,12228049393.00,United States,2016,68945,Health Care,Biotechnology: Commercial Physical & Biological Resarch
MELI,MercadoLibre Inc. Common Stock,$2008.115,2.455,0.122%,101806285709.00,Argentina,2007,159439,Consumer Discretionary,Business Services
META,Meta Platforms Inc. Class A Common Stock,$533.425,6.695,1.271%,1349467501469.00,United States,2012,9997681,Technology,Computer Software: Programming Data Processing
MMYT,MakeMyTrip Limited Ordinary Shares,$98.7532,5.2532,5.618%,10841371796.00,India,2010,589075,Consumer Discretionary,Transportation Services
MNDY,monday.com Ltd. Ordinary Shares,$267.61,-1.08,-0.402%,13092525682.00,Israel,2021,173253,Technology,Computer Software: Prepackaged Software
MNST,Monster Beverage Corporation,$46.785,0.075,0.161%,45827964496.00,United States,,1883026,Consumer Staples,Beverages (Production/Distribution)
MORN,Morningstar Inc. Common Stock,$312.245,-0.065,-0.021%,13376179561.00,United States,2005,29056,Finance,Investment Managers
MPWR,Monolithic Power Systems Inc. Common Stock,$943.69,39.00,4.311%,46006774880.00,United States,2004,274391,Technology,Semiconductors
MRNA,Moderna Inc. Common Stock,$86.21,-0.73,-0.84%,33138781746.00,United States,2018,2032881,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
MRVL,Marvell Technology Inc. Common Stock,$70.93,1.52,2.19%,61397008000.00,United States,2000,3580563,Technology,Semiconductors
MSFT,Microsoft Corporation Common Stock,$423.535,-1.265,-0.298%,3148151910697.00,United States,1986,7833287,Technology,Computer Software: Prepackaged Software
MSTR,MicroStrategy Incorporated Common Stock Class A,$140.6001,6.9101,5.169%,27321509852.00,United States,1998,8682816,Technology,Computer Software: Prepackaged Software
MU,Micron Technology Inc. Common Stock,$107.65,-0.34,-0.315%,119366768744.00,United States,,9838902,Technology,Semiconductors
NBIX,Neurocrine Biosciences Inc. Common Stock,$150.595,1.005,0.672%,15206518218.00,United States,1996,336413,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
NDAQ,Nasdaq Inc. Common Stock,$70.36,0.27,0.385%,40523162111.00,United States,,822781,Finance,Investment Bankers/Brokers/Service
NDSN,Nordson Corporation Common Stock,$246.26,6.79,2.835%,14103010009.00,United States,,222832,Industrials,Industrial Machinery/Components
NFLX,Netflix Inc. Common Stock,$697.12,-1.42,-0.203%,299179236409.00,United States,2002,1492201,Consumer Discretionary,Consumer Electronics/Video Chains
NICE,NICE Ltd American Depositary Shares,$179.315,0.685,0.383%,11273654012.00,Israel,,336846,Technology,Computer Software: Prepackaged Software
NTAP,NetApp Inc. Common Stock,$133.31,1.92,1.461%,27435432759.00,United States,1995,556004,Technology,Electronic Components
NTES,NetEase Inc. American Depositary Shares,$92.39,2.17,2.405%,59328850861.00,China,,910829,Technology,Computer Software: Prepackaged Software
NTNX,Nutanix Inc. Class A Common Stock,$52.63,-0.40,-0.754%,12980706409.00,United States,2016,1135434,Technology,Computer Software: Prepackaged Software
NTRA,Natera Inc. Common Stock,$120.06,1.61,1.359%,14849192726.00,United States,2015,608527,Health Care,Medical Specialities
NTRS,Northern Trust Corporation Common Stock,$86.47,0.39,0.453%,17435625322.00,United States,,442843,Finance,Major Banks
NVDA,NVIDIA Corporation Common Stock,$128.0299,0.7799,0.613%,3149323262585.00,United States,1999,205243327,Technology,Semiconductors
NWS,News Corporation Class B Common Stock,$28.77,0.26,0.912%,16358182999.00,United States,,181395,Consumer Discretionary,Newspapers/Magazines
NWSA,News Corporation Class A Common Stock,$27.71,0.32,1.168%,15755483173.00,United States,,708629,Consumer Discretionary,Newspapers/Magazines
NXPI,NXP Semiconductors N.V. Common Stock,$252.85,-1.17,-0.461%,64409221351.00,Netherlands,2010,1376649,Technology,Semiconductors
ODFL,Old Dominion Freight Line Inc. Common Stock,$202.045,3.295,1.658%,43297546849.00,United States,1991,430499,Industrials,Trucking Freight/Courier Services
OKTA,Okta Inc. Class A Common Stock,$98.035,0.425,0.435%,16492070418.00,United States,2017,563406,Technology,Computer Software: Prepackaged Software
ON,ON Semiconductor Corporation Common Stock,$76.325,0.505,0.666%,32694280630.00,United States,,2798455,Technology,Semiconductors
ORLY,O'Reilly Automotive Inc. Common Stock,$1140.28,13.71,1.217%,66142698546.00,United States,1993,164375,Consumer Discretionary,Auto & Home Supply Stores
PAA,Plains All American Pipeline L.P. Common Units representing Limited Partner Interests,$17.535,0.075,0.43%,12293460578.00,United States,1998,655094,Energy,Natural Gas Distribution
PANW,Palo Alto Networks Inc. Common Stock,$360.84,-7.17,-1.948%,116839992000.00,United States,,3426223,Technology,Computer peripheral equipment
PARAA,Paramount Global Class A Common Stock,$23.29,0.47,2.06%,15527777794.00,United States,,38654,Industrials,Broadcasting
